---------------------------------
HTTP Status Code Checker Report
CSV Generated by Qbk HTTP Checker at 2018-05-15 18:05:02 +0000
It spend 00:00:07 to complete all the process
Total urls proccesed: 4
Urls with code 404: 0
Urls with more than 1 redirect: 4
---------------------------------
NOTE:
      The TOTAL # of urls is not the sum of 'code 404' and 'more than 1 redirects' 
      Because an url with 404 error could be inside of a redirect
---------------------------------

URL Analyzed,Count Redirects,Codes,Redirect
http://ystg.musimundo.com/1551~clima/1552~aire-acondicionado/1554~split/producto~127432~C172658-E133622-aire-acondicionado---split--mti-csc-090amr-2236fgh,3
,,302,https://ystg.musimundo.com/1551~clima/1552~aire-acondicionado/1554~split/producto~127432~C172658-E133622-aire-acondicionado---split--mti-csc-090amr-2236fgh
,,301,https://ystg.musimundo.com/musimundo/es/p/c/172658/e/133622
,,302,https://ystg.musimundo.com/musimundo/es/climatizacion/aire-acondicionado/aire-acondicionado---split-mti-csc-090amr/p/00033016
,,200,https://ystg.musimundo.com/musimundo/es/climatizacion/aire-acondicionado/aire-acondicionado---split-mti-csc-090amr/p/00033016
http://ystg.musimundo.com/1625~computacion/1629~computadoras/1633~notebook/producto~127355~C173075-E134204-notebook--idea-pad-320-15isk,3
,,302,https://ystg.musimundo.com/1625~computacion/1629~computadoras/1633~notebook/producto~127355~C173075-E134204-notebook--idea-pad-320-15isk
,,301,https://ystg.musimundo.com/musimundo/es/p/c/173075/e/134204
,,302,https://ystg.musimundo.com/musimundo/es/informatica/notebook/notebook-idea-pad-320-15isk/p/00051122
,,200,https://ystg.musimundo.com/musimundo/es/informatica/notebook/notebook-idea-pad-320-15isk/p/00051122
http://ystg.musimundo.com/1570~audiotvvideo/1589~televisores/1992~smart-tv/producto~128331~C173466-E134843-televisor--50---smart-tv--50mu6100-4k,3
,,302,https://ystg.musimundo.com/1570~audiotvvideo/1589~televisores/1992~smart-tv/producto~128331~C173466-E134843-televisor--50---smart-tv--50mu6100-4k
,,301,https://ystg.musimundo.com/musimundo/es/p/c/173466/e/134843
,,302,"https://ystg.musimundo.com/musimundo/es/audio-tv-video/televisores/smart-tv-50""-un50mu6100g/p/00073003"
,,200,https://ystg.musimundo.com/musimundo/es/audio-tv-video/televisores/smart-tv-50%22-un50mu6100g/p/00073003
http://ystg.musimundo.com/catalogo/1817~musica/1862~tropical/1865~cumbia-tropical/Listado,2
,,302,https://ystg.musimundo.com/catalogo/1817~musica/1862~tropical/1865~cumbia-tropical/Listado
,,301,https://ystg.musimundo.com/musica/c/11
,,200,https://ystg.musimundo.com/musica/c/11
